cell_id,row,col,centroid_lng,centroid_lat,secondary_250m,secondary_500m,secondary_750m,secondary_1000m,primary_1000m,primary_2000m,primary_4000m,secondary_rating_kva_1000m,primary_rating_kva_4000m,nearest_transformer_m,nearest_secondary_m,nearest_primary_m,weighted_capacity_kva,available_capacity_kw_proxy,peak_kw_proxy_2026,headroom_kw_proxy_2026,overload_risk_2026,asset_age_mean,missing_rating_share,data_support_score,confidence,electricity_index,jobs_index,buildings_index,services_index,traffic_index,development_pressure,planning_intensity,transit_access,deprivation_weight
belfast_00_00,0,0,-6.074546,54.525143,1,2,2,2,1,1,2,1000.0,32000.0,166.5,170.0,166.5,21678.541,9052.935,2359.55,6693.385,0.0,,0.0,0.58,medium,0.414,0.088,0.352,0.098,0.231,0.115,0.078,0.18,0.0
belfast_00_01,0,1,-6.06091,54.525143,0,0,1,2,1,2,3,1000.0,48000.0,579.5,579.5,752.9,24696.094,10277.478,2414.85,7862.628,0.0,,0.0,0.58,medium,0.422,0.088,0.37,0.098,0.241,0.139,0.089,0.18,0.0
belfast_00_02,0,2,-6.047273,54.525143,0,0,1,1,0,2,3,500.0,48000.0,576.3,576.3,1061.2,24633.154,10252.771,2456.35,7796.421,0.0,,0.0,0.58,medium,0.429,0.088,0.38,0.098,0.247,0.153,0.097,0.18,0.0
belfast_00_03,0,3,-6.033637,54.525143,0,1,2,2,1,1,4,1000.0,64000.0,322.8,322.8,998.5,27170.77,11333.118,2462.8,8870.318,0.0,,0.0,0.58,medium,0.431,0.088,0.378,0.098,0.245,0.152,0.096,0.18,0.0
belfast_00_04,0,4,-6.020001,54.525143,0,0,1,1,0,1,4,500.0,64000.0,606.7,606.7,1555.6,23698.987,9880.264,2436.8,7443.464,0.0,,0.0,0.58,medium,0.428,0.088,0.368,0.098,0.241,0.136,0.088,0.18,0.0
belfast_00_05,0,5,-6.006364,54.525143,0,0,0,0,0,0,3,0,48000.0,1374.5,1374.5,2322.6,16470.612,6864.236,2393.6,4470.636,0.0,,0.0,0.58,medium,0.422,0.088,0.356,0.098,0.237,0.112,0.076,0.18,0.0
belfast_00_06,0,6,-5.992728,54.525143,0,0,0,0,0,0,3,0,48000.0,1803.9,1803.9,2869.0,13057.591,5427.98,2349.4,3078.58,0.0,,0.0,0.58,medium,0.415,0.088,0.346,0.098,0.234,0.092,0.066,0.18,0.0
belfast_00_07,0,7,-5.979091,54.525143,0,0,0,0,0,0,2,0,32000.0,2415.3,2415.3,3503.9,7245.212,3007.665,2327.25,680.415,0.3763,,0.0,0.58,medium,0.411,0.088,0.342,0.098,0.232,0.085,0.063,0.18,0.0
belfast_00_08,0,8,-5.965455,54.525143,0,0,0,0,0,0,1,0,16000.0,3133.1,3133.1,3866.1,3434.784,1424.879,2334.35,-909.471,0.6654,,0.0,0.34,low,0.411,0.088,0.346,0.098,0.233,0.095,0.067,0.18,0.0
belfast_00_09,0,9,-5.951819,54.525143,0,0,0,0,0,0,1,0,16000.0,3287.6,3287.6,3305.5,4275.245,1771.086,2367.35,-596.264,0.6084,,0.0,0.34,low,0.415,0.088,0.357,0.098,0.236,0.116,0.078,0.18,0.0
