,"Population"
"1950",446000
"1951",443000
"1952",440000
"1953",437000
"1954",435000
"1955",432000
"1956",429000
"1957",426000
"1958",423000
"1959",421000
"1960",418000
"1961",416000
"1962",416000
"1963",416000
"1964",416000
"1965",416000
"1966",416000
"1967",416000
"1968",416000
"1969",417000
"1970",417000
"1971",417000
"1972",421000
"1973",424000
"1974",428000
"1975",431000
"1976",435000
"1977",438000
"1978",442000
"1979",446000
"1980",449000
"1981",453000
"1982",457000
"1983",460000
"1984",464000
"1985",468000
"1986",472000
"1987",476000
"1988",480000
"1989",483000
"1990",487000
"1991",492000
"1992",501000
"1993",509000
"1994",517000
"1995",526000
"1996",535000
"1997",544000
"1998",553000
"1999",562000
"2000",571000
"2001",580000
"2002",581000
"2003",583000
"2004",585000
"2005",587000
"2006",589000
"2007",590000
"2008",592000
"2009",594000
"2010",596000
"2011",598000
"2012",602000
"2013",605000
"2014",609000
"2015",612000
"2016",616000
"2017",619000
"2018",623000
"2019",627000
"2020",631000
"2021",635000
"2022",639000
"2023",643000
"2024",647000
"2025",652000
