Id,DateReceived,ReceivedQ,DateValid,Authority,Constituency,AppType,AppCategory,StatsCategory,Urban_Rural,HousingType,RenewableType,Proposal,Location,Easting,Northing,Status@31Mar,Decision_Withdrawal,DecisionIssuedDate,DecidedQ,DateWithdrawn,WithdrawnQ,processingtime_wks,Live@31Mar,timeinsystem
`LA07/2016/1234/F,19/09/2016,Q2,19/09/2016,"Newry, Mourne and Down",SOUTH DOWN,Full,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,Dwelling on a farm,Site approx. 120m south of 108 Loughinisland Road  Loughinisland  Downpatrick  BT30 8JL,"343,525","346,644",Approved,Approved,24/02/2017,Q4,,,22,, 
A/2005/0012/F,10/01/2005,,10/01/2005,Derry and Strabane,FOYLE,Full,Major,Residential,Rural: Settlement,Rural housing developments (settlement), ,"Housing development: 91 Units, comprising of detached, semi detached, terrace, 1 and 2 storey dwellings, shop units with apartments over and associated green spaces. parking and access and existing roads/access improvements to Lettershendony avenue and Tirbracken Road..","Lands near to and northeast of the junction of Gorticross Road and Lettershandoney Avenue, Lettershandoney","250,240","415,180",Pending, ,,,,,,1,12 months and over
A/2005/0217/O,28/02/2005,,28/02/2005,Derry and Strabane,FOYLE,Outline,Major,Residential,Urban,Urban housing developments, ,"Housing and associated facilities for new residential neighbourhood, zoned as majority of H1B in the Derry Area Plan 2011 (approx 1400-1500 dwellings)","Lands between Upper Galliagh Road, Beragh Hill Road, and Skeoge Road, Londonderry","242,308","421,136",Approved,Approved,21/07/2016,Q2,,,573.2,, 
A/2005/1301/F,30/12/2005,,10/03/2006,Derry and Strabane,FOYLE,Full,Major,Civic,Urban, , ,Development of Spine Road Network,"Land west of Buncrana Road between Whitehouse Road and Benview Estate, Coshquin (identified as zone H2 in Derry Area Plan 2011)","241,190","420,116",Pending, ,,,,,,1,12 months and over
A/2006/0180/O,24/02/2006,,09/10/2006,Strategic Planning Division,FOYLE,Outline,Major,Commercial,Urban, , ,"Site for food store, associated storage offices and other ancillary facilities including service yard & car parking.","Lands off Buncrana Road, Londonderry (Just off new Skeoge Link Roundabout and Opposite No.65a Buncrana Road)","241,632","420,250",Withdrawn,Withdrawn,,,31/03/2017,Q4,524.2,, 
A/2006/0269/F,09/03/2006,,09/03/2006,Derry and Strabane,FOYLE,Full,Major,Residential,Urban,Urban housing developments, ,Residential development of 85 no. dwellings (amended scheme),"Part zoning H23, on Tullyally Road West, Londonderry","245,355","414,305",Approved,Approved,28/03/2017,Q4,,,554,, 
A/2006/0441/O,10/05/2006,,10/05/2006,Derry and Strabane,FOYLE,Outline,Major,Residential,Urban,Urban housing developments, ,"Site for residential development to include: mix of house types, local community facilities, open space, pedestrian and vehicular access, primary school, drainage and other infrastructure. (Revised Concept Masterplan, Environmental Statement, P1 form)",Land West Of Buncrana Road Between Whitehouse Road And Benview Estate Coshquin (identified As H2 Zone In Derry Area Plan 2011),"241,187","420,119",Pending, ,,,,,,1,12 months and over
A/2007/0488/F,11/05/2007,,11/05/2007,Derry and Strabane,FOYLE,Full,Local,Residential,Rural: Countryside,Rural housing developments (countryside), ,"Replacement of 4 no semi-detached and 1 no detached dwellings with 4 no terraced and 1 no detached dwellings, lands at Green Road, Ardmore.",20  24  26  28 & 30 Green Road  Ardmore  Londonderry,"247,294","413,800",Pending, ,,,,,,1,12 months and over
A/2007/0530/F,21/05/2007,,21/05/2007,Derry and Strabane,FOYLE,Full,Local,Residential,Rural: Countryside,Rural housing developments (countryside), ," Conversion from 14no. mill workers cottages create 9no. two storey terraced dwellings, lands at Green Road, Ardmore","Cottages 70m N.E. of 24 Green Road, Ardmore, Londonderry","247,275","413,916",Pending, ,,,,,,1,12 months and over
A/2007/0672/F,27/06/2007,,27/06/2007,Derry and Strabane,FOYLE,Full,Major,Residential,Urban,Urban housing developments, ,Proposed 3 & 4 & 5 storey residential development comprising 53 apartments. (Amended address),Longs Farm Shop (Former Filling Station) At 4 Letterkenny Road (previously Identified As 4 Foyle Road)  Derry,"242,470","415,755",Approved,Approved,27/09/2016,Q2,,,462.4,, 
