Id,DateReceived,ReceivedQ,DateValid,Authority,Constituency,AppType,AppCategory,StatsCategory,Urban_Rural,HousingType,RenewableType,Proposal,Location,Easting,Northing,Status@31Mar,Decision_Withdrawal,DecisionIssuedDate,DecidedQ,DateWithdrawn,WithdrawnQ,processingtime_wks,Live@31Mar,timeinsystem
A/2005/0012/F,10/01/2005,,10/01/2005,Derry and Strabane,FOYLE,Full,Major,Residential,Rural: Settlement,Rural housing developments (settlement), ,"Housing development: 91 Units, comprising of detached, semi detached, terrace, 1 and 2 storey dwellings, shop units with apartments over and associated green spaces. parking and access and existing roads/access improvements to Lettershendony avenue and Tirbracken Road..","Lands near to and northeast of the junction of Gorticross Road and Lettershandoney Avenue, Lettershandoney","250,240","415,180",Pending, ,,,,,,1,12 months and over
A/2005/1301/F,30/12/2005,,10/03/2006,Derry and Strabane,FOYLE,Full,Major,Civic,Urban, , ,Development of Spine Road Network (updated Environmental Statement; P1 form updated),Land West Of Buncrana Road Between Whitehouse Road And Benview Estate Coshquin (identified As H2 Zone In Derry Area Plan 2011),"241,190","420,116",Withdrawn,Withdrawn,,,21/03/2018,Q4,602.6,, 
A/2006/0441/O,10/05/2006,,10/05/2006,Derry and Strabane,FOYLE,Outline,Major,Residential,Urban,Urban housing developments, ,"Site for residential development to include: mix of house types, local community facilities, open space, pedestrian and vehicular access, primary school, drainage and other infrastructure. (Amended CMP and Maps)",Land West Of Buncrana Road Between Whitehouse Road And Benview Estate Coshquin (identified As H2 Zone In Derry Area Plan 2011),"241,187","420,119",Pending, ,,,,,,1,12 months and over
A/2007/0488/F,11/05/2007,,11/05/2007,Derry and Strabane,FOYLE,Full,Local,Residential,Rural: Countryside,Rural housing developments (countryside), ,"Replacement of 4 no semi-detached and 1 no detached dwellings with 4 no terraced and 1 no detached dwellings, lands at Green Road, Ardmore.",20  24  26  28 & 30 Green Road  Ardmore  Londonderry,"247,294","413,800",Pending, ,,,,,,1,12 months and over
A/2007/0530/F,21/05/2007,,21/05/2007,Derry and Strabane,FOYLE,Full,Local,Residential,Rural: Countryside,Rural housing developments (countryside), ,"Conversion from 14no. mill workers cottages create 9no. two storey terraced dwellings, lands at Green Road, Ardmore","Cottages 70m N.E. of 24 Green Road, Ardmore, Londonderry","247,275","413,916",Pending, ,,,,,,1,12 months and over
A/2007/0822/F,09/08/2007,,09/08/2007,Derry and Strabane,FOYLE,Full,Local,Residential,Urban,Urban housing developments, ,"Erection of 21 no. detached two storey dwellings and detached garages, alterations to section of Upper Galliagh Road, construction of hammerhead for private streets determination. (amended scheme)","Upper Galliagh Road, Londonderry. (Adjacent to Eastern boundary of no 22 Glengalliagh Hall).","241,963","420,910",Approved,Approved,06/02/2018,Q4,,,524.2,, 
A/2008/0236/O,20/03/2008,,20/03/2008,Derry and Strabane,FOYLE,Outline,Major,Residential,Urban,Urban housing developments, ,"Site for residential development - approx 46 units (Amended Concept Plan, amended P2 cert)",Elagh Road / Buncrana Road  Londonderry. North / North East of the Cosh Bar and Grill. BT48 8LB.,"241,175","420,922",Pending, ,,,,,,1,12 months and over
A/2009/0759/F,25/09/2009,,12/10/2009,Strategic Planning Division,FOYLE,Full,Major,Other,Rural: Countryside, , ,Closure works and reprofiling of former landfill site using inert materials to comply with Landfill Regulations (NI) 2003.,"Woodside Road Landfill Site, 48 Woodside Road, Newbuildings, Londonderry","242,084","413,473",Pending, ,,,,,,1,12 months and over
A/2011/0115/F,02/03/2011,,02/03/2011,Derry and Strabane,FOYLE,Full,Major,Industrial,Rural: Countryside, , ,"(Additional information received ) Extension to quarry including consolidation and deepening of extraction areas previously approved under planning consents A/1998/0635/F and A/442/75, retention of entrance gates and security fence, installation of wheel-wash, weighbridge and office use, use of mobile crushing and screening plant (mobile jaw crusher, mobile cone crusher and mobile screener), native species planting, landscaping and full site restoration",Gortree Quarry  Gortree Road  Gorticross  Londonderry  BT47 3LN,"248,663","417,130",Pending, ,,,,,,1,12 months and over
A/2011/0197/F,05/04/2011,,05/04/2011,Derry and Strabane,FOYLE,Full,Major,Mixed Use,Rural: Settlement, , ,"50 no Proposed Social Dwellings (1 no Single Storey detached, 9 no 2 Storey terraced, 36 no 2 storey semi-detached and 4 no Apartments in 2 Storey detached blocks) plus Single storey Changing Facility, 11-a-side Football Pitch and Children's Play Area-all with ancillary Siteworks Including public road improvements to Alder Road (from junction of Culmore Road to North west boundary of site) and extension of footpath (Amended description, amended plans, amended P2 ownership certificate)",Immediately adjacent to 1 Ballynagard Crescent  Culmore  Derry.,"246,036","421,703",Approved,Approved,05/12/2017,Q3,,,332.4,, 
A/2011/0207/F,06/04/2011,,06/04/2011,Derry and Strabane,FOYLE,Full,Major,Residential,Urban,Urban housing developments, ,"310 dwellings (41 detached, 216 semi detached, 47 townhouses and 6 apartments), landscaping and ancillary works including access from signalised junction on Crescent Link incorporating Sperrin Park.",Lands east of Crescent Link  north of Ballyoan cemetery  west of Rossdowney Road and South east of Caw roundabout  Londonderry.,"246,591","418,043",Withdrawn,Withdrawn,,,23/03/2018,Q4,346.8,, 
