Id,DateReceived,ReceivedQ,DateValid,Authority,LPA19CD,LPA19NM,Constituency,AppType,Classification,StatsCategory,Urban_Rural,HousingType,RenewableType,Proposal,SiteAddress,Easting,Northing,Status@31Mar,Decision_Withdrawal,DecisionIssuedDate,DecidedQ,DateWithdrawn,WithdrawnQ,processingtime_wks,Live@31Mar,timeinsystem
J/1989/0390,28-Dec-1989,,28-Dec-1989,Derry and Strabane,N13000006,Derry City and Strabane LPA,WEST TYRONE,Full,Local,Other,Rural: Countryside, , ,Extension and Alterations to Dwelling,175 MELMOUNT ROAD SION MILLS,"234,230","392,370",Pending, ,,,,,,1,12 months and over
T/2005/0977/F,03-Oct-2005,,12-Dec-2005,Strategic Planning Division,N13000012,Department for Infrastructure LPA,SOUTH ANTRIM,Full,Major,Civic,Rural: Countryside, , ,Construction of a Waste Transfer & Recycling Facility for Construction & Demolition Wastes (Amended proposal and Receipt of Further Environmental Information),"Parkgate Quarry, Connor Road, Parkgate, Antrim.","321,711","389,294",Pending, ,,,,,,1,12 months and over
T/2005/1054/F,31-Oct-2005,,06-Jan-2006,Strategic Planning Division,N13000012,Department for Infrastructure LPA,SOUTH ANTRIM,Full,Major,Other,Rural: Countryside, , ,Landfill Facility for inert Construction and Demolition Wastes (Amended Proposal and Receipt of Further Environmental Information),"Parkgate Quarry, Connor Road, Parkgate, Co Antrim.","321,554","389,631",Pending, ,,,,,,1,12 months and over
P/2007/0422/F,20-Mar-2007,,20-Mar-2007,"Newry, Mourne and Down",N13000011,"Newry, Mourne and Down LPA",NEWRY AND ARMAGH,Full,Local,Residential,Urban,Urban housing developments, ," Erection of residential development with access off Dublin Road, parking provision (part underground), associated site works and landscaping (revised scheme for 44 No. apartments (in two 4-storey blocks of 22 apartments) and 1 No. detached dwelling with individual access off Dublin Road, with demolition of the existing dwellings at Nos. 97 and 99 Dublin Road) (Amended Plans received)","Nos. 97 and 99 Dublin Road, Newry (extending to lands to the north (rear) of Nos. 1-8 Riverdale House, off Heslips Lane)","308,074","324,609",Pending, ,,,,,,1,12 months and over
J/2007/0416/F,18-Jun-2007,,04-Sep-2007,Derry and Strabane,N13000006,Derry City and Strabane LPA,WEST TYRONE,Full,Major,Industrial,Rural: Countryside, , ,"The phased extension to an existing sand and gravel pit including the regularisation of an area of excavated bedrock within the south eastern section of the existing permitted quarry, phased restoration, relocation of existing washing plant and associated settlement lagoons and final restoration of the entire extraction area to agricultural grass lands. (Further Information received from agents on 26th August 2021 in response to professional plannign reports uploaded to portal 2nd June 2021)","360m North East of 35 Castlewarren Road, Donemana, Co. Tyrone (Church Hill & Fawney Townlands), BT82 0PJ","245,696","405,026",Pending, ,,,,,,1,12 months and over
R/2009/0011/F,07-Jan-2009,,07-Jan-2009,"Newry, Mourne and Down",N13000011,"Newry, Mourne and Down LPA",STRANGFORD,Full,Local,Residential,Urban,Urban housing developments, ,"Proposed Housing development with 5 no detached and 16 no. semi-detached 2 storey dwellings with detached garages and associated siteworks, including new footpath along Crossgar Rd in conjunction with adjacent development (R/2009/0012) to connect to existing footpath (Amended drawings)   (Amended site layout and proposals received)",Site West of 75 Crossgar Road Ballynahinch.,"337,395","352,615",Pending, ,,,,,,1,12 months and over
H/2009/0264/O,06-May-2009,,13-May-2009,Strategic Planning Division,N13000012,Department for Infrastructure LPA,MID ULSTER,Outline,Major,Residential,Rural: Countryside,Rural housing developments (countryside), ,"Demolition of unlisted buildings to facilitate the heritage led regeneration (restoration and retention of listed mill buildings) of the former William Clark and Sons Linen Mill complex incorporating: residential development, leisure and recreational uses, community facilities including museum/exhibition space and other associated site works.(Additional Drawings)","Former William Clark & Sons Ltd, Upperlands, Maghera Co Londonderry","287,047","404,963",Pending, ,,,,,,1,12 months and over
H/2009/0270/F,06-May-2009,,27-May-2009,Strategic Planning Division,N13000012,Department for Infrastructure LPA,MID ULSTER,Full,Major,Residential,Rural: Countryside,Rural housing developments (countryside), ,"Works to listed buildings to include: the extension, and conversion of the former Art Deco Building into a new factory (extending to 4,030 sq metres); change of use and retention of 1a for car parking; change of use and retention of 14a as a communal space; change of use and refurbishment of buildings 3a and 13a to create 18 apartments; alterations and extension of 2 existing dwellings - buildings 2a and 21a; change of use, extension and refurbishment of buildings 4b, 4c, 4e and 25a for museum/exhibition space and other associated site works.(Additional Drawings)","Former William Clark & Sons Ltd, Upperlands, Maghera Co Londonderry","287,048","404,966",Pending, ,,,,,,1,12 months and over
H/2009/0271/LB,06-May-2009,,27-May-2009,Strategic Planning Division,N13000012,Department for Infrastructure LPA,MID ULSTER,Listed Building Consents,Major,Mixed Use,Rural: Countryside, , ,"Works to listed buildings to include: the extension, and conversion of the former Art Deco Building into a new factory (extending to 4,030 sq metres); change of use and retention of 1a for car parking; change of use and retention of 14a as a communal space; change of use and refurbishment of buildings 3a and 13a to create 18 apartments; alterations and extension of 2 existing dwellings - buildings 2a and 21a; change of use, extension and refurbishment of buildings 4b, 4c, 4e and 25a for museum/exhibition space and other associated site works.","Former William Clark & Sons Ltd, Upperlands Maghera, Co Londonderry","287,048","404,962",Pending, ,,,,,,1,12 months and over
P/2009/1561/F,11-Dec-2009,,11-Dec-2009,"Newry, Mourne and Down",N13000011,"Newry, Mourne and Down LPA",NEWRY AND ARMAGH,Full,Local,Agricultural,Rural: Countryside, , ,"Construction of agricultural building for storage of grain, straw, hay etc.","179 Gosford Road, Newry.","302,625","333,736",Pending, ,,,,,,1,12 months and over
