ID,DateReceived,ReceivedQ,DateValid,Authority,LPA19CD,LPA19NM,Constituency,AppType,Classification,StatsCategory,Urban_Rural,HousingType,RenewableType,Proposal,SiteAddress,Easting,Northing,Status@31Mar,Decision_Withdrawal,DecisionIssuedDate,DecidedQ,DateWithdrawn,WithdrawnQ,processingtime_wks,Live@31Mar,timeinsystem
A/1990/4041,20-Apr-1990,,26-Apr-1990,Derry and Strabane,N13000006,Derry City and Strabane LPA,FOYLE,Full,Local,Other,Urban, , ,Improvements to Dwelling,2 WOODFORD AVENUE LONDONDERRY,"246,679","414,643",Approved,Approved,01-May-2024,Q1,,,"1,710.6",, 
A/2011/0115/F,02-Mar-2011,,02-Mar-2011,Derry and Strabane,N13000006,Derry City and Strabane LPA,FOYLE,Full,Major,Industrial,Rural: Countryside, , ,"Extension to quarry including consolidation of extraction areas previously approved under planning consent A/1998/0635/F and A/442/75, retention of entrance gates and security fencing, installation of spray-type wheelwash and weighbridge, use of mobile crushing and screening, native species planting, landscaping and full site restoration.",Gortree Quarry  Gortree Road  Gorticross  Londonderry  BT47 3LN,"248,663","417,130",Pending, ,,,,,,1,12 months and over
P/2011/0246/F,08-Mar-2011,,08-Mar-2011,"Newry, Mourne and Down",N13000011,"Newry, Mourne and Down LPA",SOUTH DOWN,Full,Local,Civic,Rural: Countryside, ,Biomass/anaerobic digester,Proposed erection of anaerobic digestion facility and ancillary works inclusive of road junction improvements,Approximately 815 metres east of no. 60 Tandragee Road   Newry,"308,092","330,825",Withdrawn,Withdrawn,,,04-Feb-2025,Q4,691.4,, 
N/2011/0159/F,07-Apr-2011,,07-Apr-2011,"Armagh, Banbridge and Craigavon",N13000003,"Armagh City, Banbridge and Craigavon LPA",UPPER BANN,Full,Major,Residential,Rural: Countryside,Rural housing developments (countryside), ,Erection of Housing development consisting of 48 dwellings and a new pumping station and all associated site works (amended design),Lands approximately 67m to the south east of 58 Banbridge Road  Waringstown,"310,999","354,489",Pending, ,,,,,,1,12 months and over
P/2012/0396/F,25-May-2012,,25-May-2012,"Newry, Mourne and Down",N13000011,"Newry, Mourne and Down LPA",NEWRY AND ARMAGH,Full,Local,Civic,Urban, , ,Amendments to the existing waste transfer/materials recovery facility to permit the acceptance of baled refuse derived fuels (RDF) at the site; construction of external storage bays; construction of an external sort area for segregating dense hard plastics; construction of a noise barrier from thick steel paneling; interim storage of unprocessed waste in trailers prior to processing on site and interim storage of baled waste prior to processing on site (Amended description and additional information received),Shepherd's Drive  Carnbane Industrial Estate  Newry  BT35 6JQ,"307,588","329,309",Pending, ,,,,,,1,12 months and over
B/2013/0030/F,06-Feb-2013,,06-Feb-2013,Causeway Coast and Glens,N13000005,Causeway Coast and Glens LPA,EAST LONDONDERRY,Full,Local,Commercial,Urban, , ,"Alterations of existing building and two storey rear extension to accomodate enclosed stairwell, WC's and external smoking area.",48 Main Street   Limavady.,"267,077","423,315",Approved,Approved,11-Dec-2024,Q3,,,589.4,, 
P/2013/0231/F,21-Mar-2013,,21-Mar-2013,"Newry, Mourne and Down",N13000011,"Newry, Mourne and Down LPA",NEWRY AND ARMAGH,Full,Local,Industrial,Rural: Countryside, , ,Rock extraction with restoration of extracted area to pasture.,On Blackrock Road Crossmaglen Newry 240 Metres south west of no 11 Teer Road Crossmaglen Newry,"289,901","317,127",Pending, ,,,,,,1,12 months and over
P/2013/0789/F,28-Oct-2013,,28-Oct-2013,"Newry, Mourne and Down",N13000011,"Newry, Mourne and Down LPA",SOUTH DOWN,Full,Local,Change of Use,Urban, , ,Relocation of area of open space from that previously approved under P/03/0542/F,Opposite and NE of No 14 Elmgrove  Rathfriland Road  Newry  BT34 1GZ,"310,193","327,896",Pending, ,,,,,,1,12 months and over
B/2014/0047/F,07-Mar-2014,,07-Mar-2014,Causeway Coast and Glens,N13000005,Causeway Coast and Glens LPA,EAST LONDONDERRY,Full,Local,Mixed Use,Rural: Countryside, , ,"Retrospective application for internal sub-division of 2 existing dwellings to form self catering tourist unit in each dwelling at 76E and F and 76C and D Duncrun Road, Bellarena, Limavady",Between 76 and 76A Duncrun Road   Bellarena   Limavady   BT49 0JD,"268,276","432,100",Approved,Approved,12-Dec-2024,Q3,,,535.6,, 
H/2014/0119/F,03-Apr-2014,,03-Apr-2014,Mid Ulster,N13000010,Mid Ulster LPA,MID ULSTER,Full,Local,Civic,Rural: Countryside, ,Hydroelectricity,To develop a microhydro electricity generating renewable energy system (58Kw) on the Glengomna Water. Electricity to be exported to the grid.,Turbine House 150M Se Of 91 Bancran Road Draperstown. Intake Structure 1300M NW Of Turbine House On Glengoma Water,"272,366","393,501",Pending, ,,,,,,1,12 months and over
